swappable_index,source_index,unit_id,land_use,block_id
28841,50404,511011200002,farmland,1480
28842,50405,511011103009,farmland,546
28843,50406,511011103004,farmland,487
28844,50407,511011203003,forest,1818
28845,50408,511011111012,farmland,1449
28846,50411,511011201009,farmland,1656
28847,50412,511011100013,farmland,130
28848,50413,511011107006,farmland,-1
28849,50415,511011111012,farmland,1458
28850,50419,511011200003,farmland,1496
28851,50420,511011213009,farmland,2957
28852,50423,511011203012,forest,1877
28853,50424,511011213009,farmland,-1
28854,50425,511011200002,forest,1481
28855,50427,511011103009,farmland,545
28856,50428,511011100014,forest,136
28857,50431,511011201009,farmland,1656
28858,50432,511011203008,forest,1851
28859,50433,511011103003,farmland,472
28860,50434,511011200003,forest,1495
28861,50436,511011107006,farmland,1035
28862,50437,511011103004,farmland,486
28863,50438,511011200002,farmland,1481
28864,50439,511011213009,farmland,2956
28865,50444,511011200005,farmland,1523
28866,50446,511011100013,farmland,130
28867,50449,511011200011,forest,1587
28868,50452,511011111012,forest,1458
28869,50459,511011201011,farmland,1674
28870,50461,511011200011,forest,1586
28871,50462,511011200003,forest,1492
28872,50464,511011111010,forest,1437
28873,50465,511011213008,forest,2945
28874,50467,511011202004,farmland,1714
28875,50473,511011103009,farmland,544
28876,50474,511011103009,farmland,544
28877,50475,511011103009,farmland,545
28878,50476,511011213009,forest,2955
28879,50482,511011103002,forest,452
28880,50483,511011111012,forest,1457
28881,50484,511011103003,farmland,468
28882,50485,511011213010,farmland,2963
28883,50487,511011203008,farmland,1849
28884,50488,511011111012,farmland,1451
28885,50489,511011103003,forest,471
28886,50490,511011213009,forest,2956
28887,50493,511011100015,farmland,141
28888,50496,511011103002,farmland,456
28889,50498,511011103009,farmland,545
28890,50499,511011213009,farmland,2957
28891,50500,511011202004,forest,1710
28892,50503,511011103002,forest,455
28893,50504,511011111010,farmland,1435
28894,50507,511011103003,forest,470
28895,50509,511011200003,farmland,1495
28896,50511,511011203002,forest,1806
28897,50516,511011203008,forest,1849
28898,50517,511011103002,forest,452
28899,50519,511011103002,farmland,451
28900,50522,511011200002,forest,1481
28901,50523,511011200002,farmland,1480
28902,50524,511011200002,forest,1486
28903,50526,511011213007,forest,2940
28904,50528,511011213009,forest,2955
28905,50529,511011200011,forest,1589
28906,50530,511011200003,farmland,1497
28907,50533,511011107008,farmland,1046
28908,50534,511011103009,farmland,545
28909,50535,511011111012,forest,1453
28910,50540,511011200011,forest,1586
28911,50543,511011203012,forest,1877
28912,50544,511011213008,forest,2947
28913,50548,511011213008,forest,2947
28914,50549,511011111010,forest,1434
28915,50550,511011200003,farmland,1495
28916,50551,511011203007,forest,1845
28917,50552,511011202010,forest,1744
28918,50554,511011103004,farmland,485
28919,50555,511011203008,forest,1849
28920,50557,511011107006,forest,1032
28921,50558,511011203003,farmland,1818
28922,50559,511011103013,forest,574
28923,50562,511011111012,forest,1451
28924,50564,511011111011,farmland,1442
28925,50565,511011111012,farmland,1449
28926,50566,511011200010,farmland,1574
28927,50567,511011200011,forest,1591
28928,50568,511011213007,forest,2941
28929,50570,511011201011,farmland,1675
28930,50571,511011111012,farmland,1458
28931,50572,511011201009,farmland,1658
28932,50574,511011103002,forest,454
28933,50575,511011111011,forest,1443
28934,50576,511011213007,forest,2941
28935,50577,511011107008,farmland,-1
28936,50579,511011103004,farmland,480
28937,50580,511011200005,farmland,1523
28938,50582,511011213010,farmland,2962
28939,50583,511011203007,forest,1845
28940,50584,511011200011,forest,1588
28941,50586,511011203012,forest,1878
28942,50587,511011203008,farmland,1848
28943,50588,511011201009,farmland,1656
28944,50589,511011201009,forest,1656
28945,50591,511011103013,farmland,578
28946,50594,511011213010,farmland,2962
28947,50595,511011111011,forest,1443
28948,50596,511011103003,forest,472
28949,50597,511011103003,forest,472
28950,50598,511011107008,farmland,-1
28951,50600,511011111011,farmland,1444
28952,50601,511011200005,farmland,1522
28953,50604,511011213008,forest,2946
28954,50605,511011203007,forest,1844
28955,50607,511011103003,forest,470
28956,50608,511011213008,forest,2949
28957,50610,511011202004,farmland,1712
28958,50611,511011202004,farmland,1710
28959,50612,511011200002,forest,1486
28960,50613,511011103004,forest,489
28961,50614,511011103004,farmland,486
28962,50615,511011100013,farmland,130
28963,50618,511011107006,farmland,1033
28964,50620,511011203012,forest,1882
28965,50622,511011100014,forest,136
28966,50623,511011200011,forest,1592
28967,50624,511011200003,forest,1495
28968,50628,511011111011,farmland,1440
28969,50630,511011213009,farmland,2956
28970,50634,511011103003,farmland,464
28971,50635,511011111010,forest,1435
28972,50638,511011100013,farmland,132
28973,50641,511011103003,farmland,471
28974,50642,511011200003,forest,1497
28975,50644,511011103003,forest,471
28976,50646,511011213008,forest,2947
28977,50647,511011111010,forest,1437
28978,50649,511011111012,farmland,1458
28979,50650,511011103009,farmland,542
28980,50651,511011213010,farmland,2964
28981,50653,511011107006,farmland,1033
28982,50654,511011107008,forest,1048
28983,50655,511011103003,farmland,467
28984,50656,511011200005,farmland,1523
28985,50661,511011202004,farmland,1713
28986,50662,511011103003,forest,467
28987,50664,511011111011,farmland,1443
28988,50665,511011111009,forest,1431
28989,50666,511011103004,forest,482
28990,50671,511011200003,farmland,1492
28991,50673,511011100013,farmland,132
28992,50674,511011111011,forest,1442
28993,50676,511011200005,farmland,1524
28994,50677,511011111012,forest,1456
28995,50678,511011201011,farmland,1675
28996,50679,511011103002,forest,455
28997,50680,511011103003,farmland,467
28998,50681,511011100015,forest,141
28999,50683,511011111009,forest,1431
29000,50684,511011201011,forest,1672
29001,50686,511011201008,forest,1655
29002,50687,511011203012,forest,1877
29003,50689,511011200004,forest,1503
29004,50697,511011202004,forest,1713
29005,50698,511011213010,farmland,2962
29006,50699,511011213010,farmland,2961
29007,50700,511011107006,farmland,1035
29008,50702,511011200004,forest,1500
29009,50704,511011202004,forest,1711
29010,50705,511011201011,farmland,1674
29011,50706,511011103009,farmland,545
29012,50707,511011203003,farmland,1818
29013,50708,511011111010,forest,1436
29014,50709,511011202004,forest,1708
29015,50712,511011107008,farmland,1048
29016,50714,511011213009,forest,2955
29017,50716,511011200002,forest,1481
29018,50718,511011203002,forest,1805
29019,50720,511011103002,farmland,452
29020,50722,511011202004,farmland,1708
29021,50725,511011201011,farmland,-1
29022,50729,511011103002,farmland,455
29023,50730,511011103004,farmland,481
29024,50732,511011201013,forest,1693
29025,50733,511011201009,forest,1656
29026,50734,511011213010,farmland,2962
29027,50738,511011103003,farmland,465
29028,50741,511011201011,farmland,1673
29029,50746,511011107008,forest,1043
29030,50748,511011200005,farmland,1523
29031,50749,511011200003,forest,1492
29032,50750,511011107008,farmland,1047
29033,50752,511011100016,farmland,148
29034,50754,511011201011,forest,1672
29035,50759,511011107006,farmland,-1
29036,50760,511011103003,farmland,466
29037,50763,511011213007,farmland,2940
29038,50766,511011201008,farmland,1654
29039,50768,511011201013,forest,1692
29040,50769,511011107008,farmland,1044
29041,50772,511011103003,forest,470
29042,50773,511011203008,farmland,1849
29043,50777,511011200011,forest,1589
29044,50778,511011103013,forest,578
29045,50780,511011103003,farmland,466
29046,50783,511011107006,farmland,1035
29047,50787,511011103009,farmland,543
29048,50788,511011213010,farmland,2964
29049,50789,511011107008,farmland,-1
29050,50790,511011213008,forest,2946
29051,50793,511011202010,forest,1743
29052,50794,511011103003,farmland,469
29053,50797,511011103013,farmland,574
29054,50798,511011202004,forest,1713
29055,50800,511011111009,forest,1432
29056,50802,511011103002,forest,455
29057,50805,511011111012,forest,1450
29058,50806,511011103004,forest,481
29059,50807,511011201011,farmland,1673
29060,50809,511011200011,forest,1592
29061,50811,511011103002,farmland,454
29062,50812,511011203008,farmland,1851
29063,50814,511011202004,forest,1713
29064,50817,511011203008,forest,1849
29065,50818,511011201011,forest,1673
29066,50819,511011103002,forest,452
29067,50820,511011201011,forest,1672
29068,50821,511011111012,forest,1456
29069,50823,511011203008,farmland,1852
29070,50824,511011203008,farmland,1851
29071,50825,511011201013,farmland,1693
29072,50826,511011100016,forest,147
29073,50828,511011213009,farmland,-1
29074,50832,511011213010,farmland,2963
29075,50835,511011202004,forest,1708
29076,50839,511011103004,farmland,487
29077,50841,511011201011,farmland,1675
29078,50842,511011201011,farmland,1674
29079,50843,511011200011,forest,1586
29080,50844,511011213009,farmland,-1
29081,50845,511011103004,farmland,489
29082,50846,511011111011,farmland,1447
29083,50847,511011111011,farmland,1447
29084,50849,511011213009,forest,2956
29085,50854,511011100013,farmland,131
29086,50856,511011203002,forest,1807
29087,50858,511011202004,forest,1708
29088,50863,511011107006,farmland,1035
29089,50865,511011107008,farmland,1043
29090,50868,511011202009,farmland,1742
29091,50870,511011103003,farmland,467
29092,50873,511011103004,forest,485
29093,50874,511011103004,farmland,485
29094,50875,511011213010,forest,2961
29095,50876,511011203008,farmland,1849
29096,50878,511011201011,farmland,1675
29097,50879,511011200002,farmland,1480
29098,50881,511011100016,farmland,148
29099,50884,511011213010,farmland,2961
29100,50885,511011103009,farmland,542
29101,50888,511011213008,forest,2948
29102,50889,511011107006,farmland,1033
29103,50893,511011107008,farmland,1046
29104,50895,511011103013,farmland,578
29105,50897,511011103002,farmland,452
29106,50901,511011103002,farmland,454
29107,50902,511011201013,farmland,1692
29108,50904,511011202004,farmland,1714
29109,50909,511011213008,forest,2948
29110,50910,511011103009,farmland,542
29111,50911,511011103003,forest,464
29112,50912,511011103013,farmland,578
29113,50914,511011203007,forest,1844
29114,50917,511011213009,farmland,2957
29115,50918,511011200011,forest,1591
29116,50920,511011203008,farmland,1848
29117,50921,511011111009,forest,1430
29118,50922,511011100013,forest,131
29119,50924,511011107006,farmland,1032
29120,50928,511011103003,forest,471
29121,50929,511011200011,forest,1589
29122,50933,511011111011,farmland,1441
29123,50934,511011103013,forest,578
29124,50935,511011103002,forest,456
29125,50937,511011103004,farmland,488
29126,50939,511011103004,farmland,483
29127,50944,511011203003,forest,1818
29128,50947,511011202004,forest,1710
29129,50949,511011200005,farmland,1522
29130,50951,511011213009,farmland,2955
29131,50954,511011200006,farmland,1528
29132,50961,511011213010,farmland,2964
29133,50965,511011213008,forest,2945
29134,50966,511011203012,forest,1877
29135,50968,511011103009,farmland,543
29136,50969,511011200011,forest,1589
29137,50970,511011103003,farmland,467
29138,50971,511011200010,farmland,1573
29139,50973,511011107008,farmland,1044
